,source(direct),target(indirect)
AUROC,0.9669,0.9376
FNR,0.0253,0.048
S,,0.9949
FNCR,0.0248,0.0478
HCFN,0.0253,0.048
ECE_atk,0.1268,0.1567
ECE_pooled,0.039,0.0988
