detector,shift,CCI_FNR,CCI_AUROC,CCI_ECEatk,CCI_S
protectai_v2,indirect_harmful,0.19,-0.5,1.66,-0.0
protectai_v2,indirect_hijack,0.26,-0.52,2.83,-0.01
protectai_v2,jailbreak,-0.75,0.12,-0.22,-0.0
prompt_guard_2,indirect_harmful,-0.59,-0.05,1.95,-0.0
prompt_guard_2,indirect_hijack,0.3,-0.34,0.29,-0.0
prompt_guard_2,jailbreak,-0.98,0.05,-0.79,
prompt_guard_2_22m,indirect_harmful,0.08,-0.11,-0.1,0.0
prompt_guard_2_22m,indirect_hijack,0.16,-0.25,-0.68,0.0
prompt_guard_2_22m,jailbreak,-0.9,0.23,2.09,-0.01
